circuit,reference_season,pirelli_event_code,pirelli_traction,pirelli_tyre_stress,pirelli_asphalt_grip,pirelli_braking,pirelli_asphalt_abrasion,pirelli_lateral,pirelli_article_url,pirelli_graphic_url,mercedes_source_year,mercedes_asset_id,mercedes_page_url,mercedes_turn_speeds_kmh,mercedes_missing_turns,notes
"Circuit Zandvoort (Netherlands)",2025,NL,3,5,3,3,3,4,https://press.pirelli.com/there-at-the-start-75-years-ago-pirelli-hits-the-500-grands-prix-mark/,https://content.presspage.com/uploads/2363/3d98d8c6-2cdd-4b7a-897d-b19cb88b1d47/1920_trackcharacteristics-nl25-en.jpg?10000,2025,M530172,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Dutch-Grand-Prix---Track-Map.xhtml?oid=194326094,"1:110;2:170;3:115;4:180;5:250;6:265;7:220;8:200;9:120;10:120;11:115;12:95;13:165;14:200",,
"Autodromo Nazionale Monza (Monza, Italy)",2025,IT,3,3,3,4,2,2,https://press.pirelli.com/art-history-and-speed-monza-gets-ever-more-special/,https://content.presspage.com/uploads/2363/7de0a408-4e5a-49ed-8b90-fd4af43ca5f1/1920_trackcharacteristics-it25-en.jpg?10000,2025,M532705,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Italian-Grand-Prix---Track-Map.xhtml?oid=194341383,"1:75;2:65;3:250;4:105;5:115;6:190;7:170;8:180;9:185;10:230;11:195",,
"Baku City Circuit (Azerbaijan)",2025,AZ,5,3,2,4,1,1,https://press.pirelli.com/the-c6-is-back-for-baku/,https://content.presspage.com/uploads/2363/1e3f5816-1a47-4dfb-8a4b-09a45b3cd376/1920_trackcharacteristics-az25-en.jpg?10000,2025,M535425,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Azerbaijan-Grand-Prix--Track-Map.xhtml?oid=194378424,"1:120;2:95;3:100;4:95;5:105;6:95;7:75;8:115;9:125;10:115;11:95;12:110;13:265;14:295;15:95;16:130;17:215;18:270;19:290;20:310",,
"Marina Bay Street Circuit (Singapore)",2025,SG,4,2,3,5,3,2,https://press.pirelli.com/managing-the-heat-under-the-lights-in-singapore/,https://content.presspage.com/uploads/2363/2fd91c3f-72f7-4ea0-9956-2f6892778e8b/1920_trackcharacteristics-sg25-en.jpg?10000,2025,M537670,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Singapore-Grand-Prix--Track-Map.xhtml?oid=194425513,"1:135;2:140;3:85;4:150;5:140;6:180;7:115;8:75;9:115;10:135;11:105;12:135;13:105;14:65;15:160;16:105;17:120;18:190;19:190",,
"Circuit of The Americas (Austin, USA)",2025,US,4,4,3,3,3,4,https://press.pirelli.com/a-texas-rodeo-with-a-jump-in-compounds/,https://content.presspage.com/uploads/2363/4827e9cb-eec3-44e5-8677-5de8d8956a41/1920_trackcharacteristics-us25-en.jpg?10000,2025,M541339,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-United-States-Grand-Prix---Track-Map.xhtml?oid=194463194,"2:185;3:270;4:275;5:255;6:225;7:200;8:145;9:165;10:230;11:75;12:85;13:120;14:95;15:90;16:165;17:245;18:260;19:200;20:95",1,"Mercedes map does not print a minimum-speed label for Turn 1; no value was imputed"
"Autódromo Hermanos Rodríguez (Mexico)",2025,MX,3,2,2,3,2,2,https://press.pirelli.com/once-again-a-skip-in-compounds-for-the-mexico-city-weekend/,https://content.presspage.com/uploads/2363/15f6b201-d60e-4e9e-8dbd-175879976734/1920_trackcharacteristics-mx25-en.jpg?10000,2025,M544351,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Mexico-City-Grand-Prix---Track-Map.xhtml?oid=194495642,"1:95;2:90;3:95;4:85;5:65;6:80;7:155;8:180;9:215;10:165;11:180;12:120;13:60;14:120;15:125;16:90;17:150",,
"Autódromo José Carlos Pace (Brazil)",2025,BR,3,3,3,3,2,3,https://press.pirelli.com/harder-compounds-for-the-sao-paulo-sprint-weekend/,https://content.presspage.com/uploads/2363/ed92623b-1bc7-429c-aba4-efc32601c7c7/1920_trackcharacteristics-br25-en.jpg?10000,2025,M547016,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-So-Paulo-Grand-Prix--Track-Map.xhtml?oid=194548692,"1:105;2:135;3:200;4:150;5:200;6:250;7:230;8:90;9:100;10:85;11:190;12:120;13:175;14:250;15:305",,
"Las Vegas Strip Circuit (Las Vegas, USA)",2025,LV,2,4,1,3,2,2,https://press.pirelli.com/roulette-in-las-vegas/,https://content.presspage.com/uploads/2363/2e014b4c-2b87-404f-a176-76f45fd99cc9/1920_trackcharacteristics-lv25-en.jpg?10000,2025,M550711,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Las-Vegas-Grand-Prix---Track-Map.xhtml?oid=194668980,"1:105;2:125;3:210;4:235;5:105;6:230;7:90;8:100;9:95;10:280;11:305;12:100;13:315;14:95;15:130;16:180;17:320",,
"Lusail International Circuit (Qatar)",2025,QT,3,5,4,3,2,5,https://press.pirelli.com/another-desert-this-time-in-doha/,https://content.presspage.com/uploads/2363/d7f25e90-3c63-40da-8a00-6522eb9759b8/1920_trackcharacteristics-qt25-en.jpg?10000,2025,M554124,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Qatar-Grand-Prix---Track-Map.xhtml?oid=194696654,"1:155;2:165;3:235;4:190;5:205;6:90;7:140;8:220;9:250;10:140;11:230;12:285;13:275;14:255;15:230;16:155",,
"Yas Marina Circuit (UAE)",2025,AE,4,3,3,4,3,3,https://press.pirelli.com/in-abu-dhabi-for-a-first-step-towards-the-f1-of-the-future/,https://content.presspage.com/uploads/2363/931f1ace-1689-4a39-8173-d1a870e85f69/1920_trackcharacteristics-ae25-en.jpg?10000,2025,M556249,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Abu-Dhabi-Grand-Prix---Track-Map.xhtml?oid=194710579,"1:150;2:240;3:265;4:280;5:100;6:65;7:75;8:200;9:175;10:250;11:275;12:100;13:110;14:170;15:250;16:125",,
